giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
TOMOVIC,5.5,0,0,0,0,0,0,1,0,1
VICARI,6.5,0,0,0,0,0,0,0,0,0
RECA,5,0,0,0,0,0,0,0,0,0
SALA,6,0,0,0,0,0,0,0,0,0
CIONEK,7,0,0,0,0,0,0,0,0,0
MURGIA,6.5,0,0,0,0,0,0,0,0,0
D'ALESSANDRO,6,0,0,0,0,0,0,0,0,0
STREFEZZA,6.5,0,0,0,0,0,0,1,0,0
DI FRANCESCO F,6,0,0,0,0,0,0,1,0,0
KURTIC,7,1,0,0,0,0,0,0,0,0
MISSIROLI,6.5,0,0,0,0,0,0,1,0,0
PETAGNA,7,1,0,0,0,0,0,0,0,0
SIRIGU,5.5,0,2,0,0,0,0,0,0,0
DE SILVESTRI,5.5,0,0,0,0,0,0,0,0,0
DJIDJI,5,0,0,0,0,0,0,0,0,0
IZZO,6.5,0,0,0,0,0,0,0,0,0
AINA,5,0,0,0,0,0,0,0,0,0
BONIFAZI,5.5,0,0,0,0,0,0,0,0,0
BASELLI,5.5,0,0,0,0,0,0,0,0,0
LAXALT,6,0,0,0,0,0,0,0,0,0
VERDI,5.5,0,0,0,0,0,0,0,0,0
BERENGUER,5.5,0,0,0,0,0,0,1,0,0
MEITE',5,0,0,0,0,0,0,0,0,0
RINCON,5.5,0,0,0,0,0,0,0,0,0
ZAZA,6,0,0,0,0,0,0,0,0,0
BELOTTI,6.5,0,0,0,0,1,0,0,0,0
MUSSO,7,0,1,0,0,0,0,0,0,0
DE MAIO,6.5,0,0,0,0,0,0,0,0,0
OPOKU,6,0,0,0,0,0,0,0,0,0
RODRIGO BECAO,5,0,0,0,0,0,0,1,0,0
STRYGER LARSEN,5.5,0,0,0,0,0,0,0,0,0
BARAK,5.5,0,0,0,0,0,0,0,0,0
DE PAUL,4,0,0,0,0,0,0,0,1,0
FOFANA,5,0,0,0,0,0,0,0,0,0
JAJALO,5.5,0,0,0,0,0,0,0,0,0
MANDRAGORA,6,0,0,0,0,0,0,0,0,0
WALACE,6,0,0,0,0,0,0,0,0,0
SEMA,5.5,0,0,0,0,0,0,0,0,0
LASAGNA,5.5,0,0,0,0,0,0,0,0,0
PUSSETTO,6,0,0,0,0,0,0,0,0,0
SILVESTRI,6,0,1,0,0,0,0,1,0,0
FARAONI,6,0,0,0,0,0,0,0,0,0
GUNTER,5,0,0,0,0,0,0,1,0,0
KUMBULLA,6.5,0,0,0,0,0,0,0,0,0
RRAHMANI,6.5,0,0,0,0,0,0,0,0,0
VERRE,6.5,0,0,0,0,0,0,0,0,0
PESSINA,5.5,0,0,0,0,0,0,0,0,0
LAZOVIC,6,0,0,0,0,0,0,0,0,0
AMRABAT,6,0,0,0,0,0,0,1,0,0
MIGUEL VELOSO,5.5,0,0,0,0,0,0,1,0,0
ZACCAGNI,6,0,0,0,0,0,0,0,0,0
TUTINO,6,0,0,0,0,0,0,0,0,0
STEPINSKI,4,0,0,0,0,0,0,0,1,0
DI CARMINE,6,0,0,0,0,0,0,0,0,0
